=N:[UsageMeter (2024-03-25 15:22:20 Eastern Daylight Time)] usage server initial connection
Analyzing...
Elaborating...
  Top-level modules:
    $unit
    carry_lookahead_adder_tb
=W:[CmdLineDefparam]:
    The following command-line parameter overrides have been applied:    

        carry_lookahead_adder_tb.VERBOSITY     0    

        carry_lookahead_adder_tb.ADD_ERRORS    1    

  Found 6 unique specialization(s) of 6 design element(s).
Optimizing...
Building models...
PLI/VPI access: +b 
Simulation time precision is 1ns.
  [4/5] module carry_lookahead_adder_tb#(10,3,0,1): 9 functions, 57 basic blocks
Linking image.so...
Using default typical min/typ/max.
=S:Begin run-time elaboration and static initialization...
=N:[dumpMXD] preparing MXD dump to 'waves.mxd'.
=N:[dump] Dump started at time 0
=N:Starting event scheduler...
[645 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
[1215 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=0, exp_result=0, received result=7
[1225 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=1, exp_result=0, received result=8
[1235 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=2, exp_result=0, received result=9
[1245 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=3, exp_result=0, received result=10
[1255 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=4, exp_result=0, received result=11
[1265 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=5, exp_result=0, received result=12
[1275 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=6, exp_result=0, received result=13
[1285 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
[1855 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=0, exp_result=0, received result=7
[1865 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=1, exp_result=0, received result=8
[1875 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=2, exp_result=0, received result=9
[1885 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=3, exp_result=0, received result=10
[1895 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=4, exp_result=0, received result=11
[1905 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=5, exp_result=0, received result=12
[1915 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=6, exp_result=0, received result=13
[1925 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
[2495 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=0, exp_result=0, received result=7
[2505 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=1, exp_result=0, received result=8
[2515 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=2, exp_result=0, received result=9
[2525 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=3, exp_result=0, received result=10
[2535 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=4, exp_result=0, received result=11
[2545 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=5, exp_result=0, received result=12
[2555 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=6, exp_result=0, received result=13
[2565 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
[3135 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=0, exp_result=0, received result=7
[3145 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=1, exp_result=0, received result=8
[3155 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=2, exp_result=0, received result=9
[3165 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=3, exp_result=0, received result=10
[3175 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=4, exp_result=0, received result=11
[3185 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=5, exp_result=0, received result=12
[3195 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=6, exp_result=0, received result=13
[3205 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
[3775 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=0, exp_result=0, received result=7
[3785 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=1, exp_result=0, received result=8
[3795 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=2, exp_result=0, received result=9
[3805 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=3, exp_result=0, received result=10
[3815 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=4, exp_result=0, received result=11
[3825 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=5, exp_result=0, received result=12
[3835 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=6, exp_result=0, received result=13
[3845 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
[4415 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=0, exp_result=0, received result=7
[4425 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=1, exp_result=0, received result=8
[4435 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=2, exp_result=0, received result=9
[4445 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=3, exp_result=0, received result=10
[4455 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=4, exp_result=0, received result=11
[4465 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=5, exp_result=0, received result=12
[4475 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=6, exp_result=0, received result=13
[4485 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
[5055 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=0, exp_result=0, received result=7
[5065 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=1, exp_result=0, received result=8
[5075 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=2, exp_result=0, received result=9
[5085 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=3, exp_result=0, received result=10
[5095 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=4, exp_result=0, received result=11
[5105 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=5, exp_result=0, received result=12
